conjecture_id,valid,exact_arithmetic,reason,subgroup,order,size,x,x_value,y,y_value,sign,rhs,violation,graph6
688,True,True,valid counterexample,connected,9,18,density,1/2,proximity,4/13,>=,49/153,25/1989,H~~{?C@
713,True,True,valid counterexample,connected,20,39,density,39/190,remoteness,19/74,>=,144638175525890337356504783/558583354404844273863956000,45070627611921880483094971/20667584112979238132966372000,SK@_S_?WAGkbcOC?`AB?h?GQP??D?C_C?
737,True,False,valid counterexample,connected,12,31,density,31/66,second_smallest_laplace_eigenvalue,0.25834261322605834,>=,1887491854899/6645186479536,0.0256963465099209695,K~~{?CB?wF_^
886,True,True,valid counterexample,connected,20,30,maximum_degree,3,triangle_number,6,<=,4,2,SGO??CCa?E?d??K?EGCH?C?p?A?OCKC_?
980,True,True,valid counterexample,connected,1,0,average_degree,0,clique_number,1,<=,-1/2,3/2,@
981,True,True,valid counterexample,connected,1,0,average_degree,0,clique_number,1,<=,0,1,@
1021,True,True,valid counterexample,connected,17,48,average_degree,96/17,triangle_number,14,>=,495/34,19/34,P[CoU[gUmbLCsgHF_b@_Ga?C
1177,True,True,valid counterexample,connected,1,0,clique_number,1,average_degree,0,>=,4/5,4/5,@
1178,True,True,valid counterexample,connected,1,0,clique_number,1,average_degree,0,>=,3/5,3/5,@
1191,True,True,valid counterexample,connected,11,50,clique_number,6,minimum_degree,9,<=,280967/33000,16033/33000,J^v~v~}~~~?
1337,True,True,valid counterexample,connected,19,57,triangle_number,21,average_degree,6,<=,89/15,1/15,RWCuX\HsQQDGGi@MF?d\oIc?ECK?B?
1466,True,True,valid counterexample,connected,12,14,domination_number,5,independent_domination_number,6,<=,38593/7000,3407/7000,KUOPcDO?G??D
1566,True,True,valid counterexample,connected,9,9,total_domination_number,6,independence_number,4,>=,5,1,HB_@L`?
1587,True,True,valid counterexample,connected,11,10,total_domination_number,7,matching_number,4,>=,13/3,1/3,>>graph6<<Jh_GK?@?K??
1588,True,True,valid counterexample,connected,11,10,total_domination_number,7,matching_number,4,>=,5,1,JAgC?cA?_G_
1591,True,True,valid counterexample,connected,21,20,total_domination_number,4,proximity,10/57,>=,3/14,31/798,>>graph6<<TsaCC@?OA?G?O?O?G?A???_@?????O??C??@
1600,True,True,valid counterexample,connected,11,10,total_domination_number,7,vertex_cover_number,4,>=,13/3,1/3,>>graph6<<Jh_GK?@?K??
1601,True,True,valid counterexample,connected,11,10,total_domination_number,7,vertex_cover_number,4,>=,5,1,J`G?OCA__I?
1708,True,True,valid counterexample,connected,9,9,independence_number,4,total_domination_number,6,<=,5,1,HB_@L`?
1729,True,True,valid counterexample,connected,11,12,independence_number,5,proximity,5/26,>=,1/5,1/130,>>graph6<<J`CGGC@WB?_
1793,True,False,valid counterexample,connected,1,0,independence_number,1,second_smallest_laplace_eigenvalue,0.0,>=,49841913239/181309233504,0.274900027294530479,@
1880,True,True,valid counterexample,connected,1,0,vertex_cover_number,0,independent_domination_number,1,<=,-3,4,@
1891,True,True,valid counterexample,connected,11,10,vertex_cover_number,4,total_domination_number,7,<=,13/2,1/2,>>graph6<<Jh_GK?@?K??
1892,True,True,valid counterexample,connected,11,10,vertex_cover_number,4,total_domination_number,7,<=,6,1,J`G?OCA__I?
1917,True,True,valid counterexample,connected,11,10,vertex_cover_number,3,proximity,2/9,>=,3/13,1/117,>>graph6<<JKaA`A?_C??
1919,True,True,valid counterexample,connected,20,23,vertex_cover_number,6,proximity,19/126,>=,87/572,47/36036,>>graph6<<S???GA?@C?IGII_?_?`P??_???O?K??__
2041,True,True,valid counterexample,connected,1,0,independent_domination_number,1,matching_number,0,>=,1,1,@
2051,True,True,valid counterexample,connected,1,0,independent_domination_number,1,vertex_cover_number,0,>=,1,1,@
2117,True,True,valid counterexample,connected,1,0,matching_number,0,independent_domination_number,1,<=,-51407/7000,58407/7000,@
2120,True,True,valid counterexample,connected,11,10,matching_number,4,total_domination_number,7,<=,13/2,1/2,>>graph6<<Jh_GK?@?K??
2121,True,True,valid counterexample,connected,11,10,matching_number,4,total_domination_number,7,<=,6,1,JAgC?cA?_G_
2129,True,True,valid counterexample,connected,11,10,matching_number,3,proximity,2/9,>=,3/13,1/117,>>graph6<<JKaA`A?_C??
2131,True,True,valid counterexample,connected,16,15,matching_number,6,proximity,15/101,>=,87/572,207/57772,>>graph6<<O?GXCB?G??_@?@??o??H?
2252,True,False,valid counterexample,connected,15,14,randic_index,7.24344202491871937,total_domination_number,10,<=,9.76067229093858128,0.239327709061418720,NOCC?aO??C@A?OH?GC?
2882,True,True,valid counterexample,connected,11,10,second_zagreb_index,42,independent_domination_number,5,<=,59/12,1/12,JB_?OW_CE??
3144,True,True,valid counterexample,connected,22,22,proximity,21/104,total_domination_number,4,>=,54/13,2/13,>>graph6<<UsacCA?_A?G?O?O?G?A??O?@?????G??A??????o
3157,True,True,valid counterexample,connected,16,15,proximity,3/20,matching_number,6,>=,152/25,2/25,>>graph6<<Oh_K?C@_?G?@?@??_?GA?
3191,True,True,valid counterexample,connected,11,10,proximity,2/9,vertex_cover_number,3,>=,253/81,10/81,>>graph6<<JKaA`A?_C??
3193,True,True,valid counterexample,connected,15,14,proximity,7/48,vertex_cover_number,6,>=,1123/180,43/180,>>graph6<<Nh?K?C@_?_???@?B@G?
3368,True,True,valid counterexample,connected,14,13,remoteness,13/40,matching_number,4,>=,67149875953094569158931897/16110482104051131266304000,2707947536890044093715897/16110482104051131266304000,>>graph6<<M`A@@?H_@?O?G?Q??
3384,True,True,valid counterexample,connected,15,14,remoteness,7/22,vertex_cover_number,4,>=,57913431335625952396227239/13401907300307534822156640,4305802134395813107600679/13401907300307534822156640,>>graph6<<NKaA?A?OQ?G?_?@??GG
3550,True,False,valid counterexample,connected,25,53,largest_eigenvalue,5.063674225686048,triangle_number,40,<=,38.7921941966983355,1.20780580330166447,X}w?GKG@oIF?AGAG_CZoG@U?FO??_G?_C@??????@@???@Ac?@?
3961,True,False,valid counterexample,connected,24,133,second_smallest_laplace_eigenvalue,0.14434539959895654,average_degree,133/12,<=,10.5852209328079724,0.498112400525360982,W~~~~~~~~~~~_???_?W?F??{?Bw?Fw?F{?B~??~w?F~_?^~
3979,True,False,valid counterexample,connected,1,0,second_smallest_laplace_eigenvalue,0.0,independence_number,1,>=,7.21197164715145238,6.21197164715145238,@
4247,True,True,valid counterexample,"connected,tree",1,0,diameter,0,independent_domination_number,1,<=,-7,8,@
4288,True,False,valid counterexample,"connected,tree",1,0,diameter,0,second_smallest_laplace_eigenvalue,0.0,>=,1559831/570111,2.73601281154020884,@
